,openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,numOfTrades,takerBuyBaseAssetVolume,takerBuyQuoteAssetVolume,_
134,1670059800000,16969.17000000,16974.41000000,16960.00000000,16964.81000000,1419.09637000,1670060699999,24076801.31984660,32968,686.26188000,11643661.51107050,0
135,1670060700000,16964.81000000,16987.00000000,16962.50000000,16979.13000000,1724.80971000,1670061599999,29281083.26146410,37495,942.12121000,15993604.47571110,0
136,1670061600000,16979.13000000,16981.00000000,16971.31000000,16977.42000000,1247.15039000,1670062499999,21172589.49545180,29833,667.16844000,11326612.38381580,0
137,1670062500000,16977.42000000,16984.50000000,16976.50000000,16980.89000000,1082.43064000,1670063399999,18380297.40759750,28225,554.94883000,9423524.47315190,0
138,1670063400000,16980.89000000,16981.81000000,16951.81000000,16952.74000000,1820.40099000,1670064299999,30888416.31538720,34876,749.21292000,12712885.71825640,0
139,1670064300000,16952.74000000,16968.69000000,16951.47000000,16963.51000000,908.48805000,1670065199999,15410275.53376590,24389,472.37898000,8012714.20512520,0
140,1670065200000,16963.51000000,16965.66000000,16880.88000000,16923.95000000,4930.60157000,1670066099999,83432052.77021080,69055,2559.36273000,43299794.80208960,0
141,1670066100000,16923.94000000,16946.65000000,16908.42000000,16937.77000000,1853.18947000,1670066999999,31377354.17967220,45096,969.49543000,16415929.19600770,0
142,1670067000000,16937.77000000,16949.63000000,16935.23000000,16947.45000000,1755.46684000,1670067899999,29744389.87310610,37427,914.69902000,15498693.61580330,0
143,1670067900000,16947.45000000,16960.37000000,16941.11000000,16943.43000000,1553.67834000,1670068799999,26334558.21902350,31367,793.08280000,13442903.56906510,0
144,1670068800000,16943.43000000,16956.70000000,16939.49000000,16954.81000000,1695.92084000,1670069699999,28742092.62055570,31992,870.77563000,14757798.78049050,0
145,1670069700000,16955.28000000,16963.98000000,16946.54000000,16948.61000000,1382.67982000,1670070599999,23447005.41992080,26006,615.92229000,10444718.15551790,0
146,1670070600000,16948.10000000,16950.89000000,16930.42000000,16935.46000000,1447.52088000,1670071499999,24521615.99816210,28527,719.52712000,12189365.90592570,0
147,1670071500000,16935.81000000,16968.99000000,16935.18000000,16965.71000000,2274.64581000,1670072399999,38572162.17161900,38269,1184.56508000,20086717.29798150,0
148,1670072400000,16966.19000000,16966.64000000,16949.47000000,16951.48000000,1877.49032000,1670073299999,31838407.13906210,32772,943.26217000,15996449.59123380,0
149,1670073300000,16952.00000000,16961.80000000,16942.56000000,16961.20000000,1590.85099000,1670074199999,26972115.42941470,28851,835.74042000,14170185.08395060,0
150,1670074200000,16960.68000000,16962.00000000,16950.00000000,16958.27000000,1473.35171000,1670075099999,24982602.12251190,25622,695.65940000,11796136.69054650,0
151,1670075100000,16958.27000000,16963.00000000,16948.40000000,16952.53000000,1503.80852000,1670075999999,25499177.85080470,26758,696.56522000,11811834.40486790,0
152,1670076000000,16953.24000000,16954.55000000,16944.08000000,16951.29000000,1272.60967000,1670076899999,21569503.21240110,26382,625.77372000,10606453.11431030,0
153,1670076900000,16951.29000000,16955.31000000,16930.00000000,16943.47000000,2236.17765000,1670077799999,37887660.34218440,33653,944.31107000,15999726.79911520,0
